title,director,country,genre,year
Приветствие Диксона,Уильям Диксон,США,Документальное кино,1891
Ньюаркский атлет,Уильям Диксон,США,Документальное кино,1891
Боксирующие мужчины,"Уильям Диксон, Уильям Хейз",США,"[d], немое кино",1891
Сцена в саду Раундхэй,Луи Лепренс,Англия,Документальное кино,1888
Шалости,"Уильям Диксон, Уильям Хейз",США,комедия,1890
Трафальгарская площадь в Лондоне,"Вордсворт Донисторп, Уильям Карр Крофтс",,Документальное кино,1890
"Я знаю, куда я иду!","Майкл Пауэлл, Эмерик Прессбургер",Великобритания,"[1], мелодрама, комедия",1945
Это было в Донбассе,"Леонид Луков, Владимир Сухобоков",СССР,"исторический фильм, военный фильм",1945
Аватар 5,"Джеймс Кэмерон, Пиранья 2: Нерест, Чужие, Бездна, Правдивая ложь, Титаник, Терминатор, Терминатор, Терминатор 2: Судный день, Аватар, Аватар, Аватар: Путь воды, Аватар 3, Аватар 4, Аватар 5, Экспедиция «Бисмарк», [en], Призраки бездны: Титаник, Чужие из бездны, [en], Ксеногенезис, Т2 3-D: Битва сквозь время",США,"боевик, эпический фильм, фэнтези, приключения, научная фантастика",2031
Джонни Эйнджел,Эдвин Л. Марин,США,Фильм нуар,1945
Зоя,Лео Арнштам,СССР,драма,1944
Жилец,Джон Брам,США,"нуар, детектив, фильм ужасов",1944
Жила-была девочка,Виктор Эйсымонт,СССР,драма,1944
Сан-Антонио,"Дэвид Батлер, Роберт Флори, Рауль Уолш",США,вестерн,1945
Это случилось завтра,"Рене Клер, [1], [2]",США,"[1], [d], комедийный фильм, драматический фильм, фэнтезийный фильм",1944
Чебурашка 2,Дмитрий Дьяченко,Россия,,2025
Форсаж 11,Луи Летерье,США,боевик,2025
Финист. Первый богатырь,Дмитрий Дьяченко,Россия,,2025
Волшебник Изумрудного города,Игорь Волошин,Россия,фэнтези,2024
Волки,Джон Уоттс,США,триллер,2024
Возвращаюсь к нормальной жизни,Сэм Тейлор-Вуд,"США, Великобритания","драматический фильм, музыкальный фильм, биографический фильм",2024
Границы округа,Генри Блейк,Великобритания,драма,2019
Грекзит,Коста-Гаврас,"Франция, Греция",драма,2019
Грань времени,"Джастин Бенсон, Аарон Мурхед, Ломка, З/Л/О: Новый вирус, Весна, Паранормальное, Грань времени, Сверхъестественное. Знаки",США,"триллер, фантастика",2019
