title,director,country,genre,year
Шалости,"Уильям Диксон, Уильям Хейз",США,комедия,1890
Трафальгарская площадь в Лондоне,"Вордсворт Донисторп, Уильям Карр Крофтс",,Документальное кино,1890
Сцена в саду Раундхэй,Луи Лепренс,Англия,Документальное кино,1888
Весна в городке,Фэй Му,Китайская Республика,мелодрама,1948
Восход луны,Фрэнк Борзейги,США,нуар,1948
Ван Гог,Ален Рене,Франция,"документальный, короткометражный фильм",1948
Верёвка,Альфред Хичкок,США,Триллер,1948
Большой удар,Шерри Шурдс,США,Фильм нуар,1948
Большие часы,Джон Фэрроу,США,"фильм нуар, триллер, криминальный фильм, драма",1948
Очарование Сэксона,Клод Бинион,США,"Драма, Фильм нуар",1948
Открытый секрет,Джон Рейнхардт,США,"Социальная драма, Фильм нуар",1948
Благословление,Теренс Дэвис,"Великобритания, США","фильм-биография, драма",2021
Битва при Чосинском водохранилище,"Чэнь Кайгэ, Данте Лам, Цуй Харк, Бабочки-убийцы, Мы собираемся вас съесть, Опасность первого типа, Зу: Воины с волшебной горы, Шанхайский блюз, Безумная миссия 3: Наш человек с Бонд-стрит, Блюз пекинской оперы, Светлое будущее 3: Любовь и смерть в Сайгоне, Виртуоз, Король шахмат, Однажды в Китае, Однажды в Китае 2, Мастер, Зелёная змея, Однажды в Китае 3, Однажды в Китае 5, Лезвие, Колония, Взрыватель, Время не ждёт, Воины Зу, Чёрная маска 2: Город масок, Семь мечей, Забытое, Всё о женщине, Детектив Ди и тайна Призрачного Пламени, Врата дракона, Молодой детектив Ди: Восстание морского дракона, Следы в заснеженном лесу",КНР,"военный фильм, драма",2021
Дунай,Любовь Мульменко,Россия,мелодрама,2021
Дом у болота,Алекс Маколи,США,фильм ужасов,2021
Джетлаг,,Россия,,2021
Кэндимен,"Ниа ДаКоста, Восставший из ада, Ночной народ, Повелитель иллюзий",США,слэшер,2021
Дом Gucci,Ридли Скотт,США,"[d], драматический фильм, биографический фильм",2021
Купе номер шесть,Юхо Куосманен,"Россия, Финляндия, Эстония, Германия",драма,2021
Дорогой Эван Хансен,Стивен Чбоски,США,мюзикл,2021
Диана: Мюзикл,Кристофер Эшли,США,"мюзикл, биография, драма",2021
Молоко,Карен Оганесян,Россия,"комедия, драма",2021
Мой легионер,"Рэйчел Лэнг, [d]","Франция, Бельгия",драматический фильм,2021
Мой волк,Дени Имбер,Франция,приключенческий фильм,2021
Мой любимый враг,Питер Хатчингс,США,романтическая комедия,2021
Медея,Александр Зельдович,Россия,драма,2021
Мейер Лански,Иван Роквей,США,"криминальная драма, биографическая",2021
Межсезонье,Александр Хант,Россия,криминальная мелодрама,2021
Множественные святые Ньюарка,Алан Тейлор,США,"криминальная, драма",2021
Мария. Спасти Москву,Вера Сторожева,Россия,драма,2021
"Мама, я дома",Владимир Битоков,Россия,драма,2021
Малышка,Брайан Эндрю Мендоза,США,боевик,2021
Мать/Андроид,Маттсон Томлин,США,"фильм-триллер, научно-фантастический фильм",2021
Мальчик по имени Рождество,"Гил Кинан, [d]",Великобритания,"фэнтезийный фильм, [d]",2021
Маргарита — королева Севера,"Шарлотта Зилинг, [d], [1]","Дания, Норвегия, [4], Швеция, [4], Польша, [4], Чехия, [4], Исландия, [4]","исторический фильм, биографический фильм, [4], драматический фильм, историческая драма",2021
Малькольм и Мари,Сэм Левинсон,США,романтический фильм,2021
Матрица: Воскрешение,Лана Вачовски,США,"киберпанк, антиутопия, постапокалиптика, научная фантастика, триллер, боевик",2021
Маленький воин,Илья Ермолов,Россия,"спортивная, драма",2021
Маленькая мама,Селин Сьямма,Франция,Драма,2021
Любовь в Килнерри,Дэниел Кит,США,"романтика, комедия",2021
Мавританец,Кевин Макдональд,"Великобритания, США","триллер, драма",2021
Магазинные воришки всего мира,"Стивен Кижак, [d]",США,,2021
Маленькая рыбка,"Чад Хэртиган, [d]",США,"научно-фантастический фильм, романтический фильм",2021
Мадам Икс,,"США, США","концертный фильм, документальный фильм",2021
Локдаун,"Даг Лайман, Эффект колибри, Лок, Море соблазна",Великобритания,"фильм-ограбление, комедийный фильм, романтический фильм",2021
Лётчик,Ренат Давлетьяров,Россия,"военный, история, биография, драма",2021
Майор Гром: Чумной Доктор,"Олег Трофим, Лёд, Майор Гром: Чумной Доктор, расширенная версия, Гром: Трудное детство, Майор Гром: Игра",Россия,"детектив, супергероика, боевик, приключения",2021
Лауреат,Уильям Нуньез,Великобритания,биографический фильм,2021
Лето соула,Questlove,США,документальный фильм,2021
Ледяная дорога,Джонатан Хенсли,США,экшн-триллер,2021
Легенда о Зелёном рыцаре,Дэвид Лоури,"США, Ирландия","фэнтези, драма",2021
Лакричная пицца,Пол Томас Андерсон,"США, Канада","комедия, романтика, драма",2021
Лига справедливости,Зак Снайдер,США,,2021
Начало,Деа Кулумбегашвили,"Грузия, Франция",драма,2020
Напугай меня,Джош Рубен,США,"ужасы, чёрная комедия",2020
На дальних рубежах,Максим Дашкин,Россия,"драма, мелодрама",2020
Мы можем быть героями,Роберт Родригес,США,Супергеройский фильм,2020
На острие,Эдуард Бордуков,Россия,"спортивный фильм, драма",2020
